content,注释,解说,喻,audio file uuid,page,tag
后九蜀寒拆九寒，后九无寒节节寒。,"①、后九：即“拗九”，指正月二十九，这是福州的一个传统节日，称“后九节”，据说与目莲救母的故事有关，这一天家家户户用糯米、红糖、花生、桂圆等煮“后九粥”，类似于北方的“腊八粥”。亲友中有年龄逢“九”或九的倍数的，则赠以甜粥、鸭蛋等为之祝福。

②、拆：抵得上。

③、九寒：是随后的诸“寒”，如后九寒、清明寒、谷雨寒等，其中后九寒是第一次春寒，也是最冷的。如果后九节前后没有冷空气，预示该年春季的冷空气将十分频繁。在这里，“九”是虚数。",,,450b6e48-a25c-4f06-bc47-244fd5a48861,13,天气节令
清明谷雨，寒死老鼠。,"①、寒死：冻死。

②、",清明、谷雨分别为二十四节气，福州有清明寒、谷雨寒之说。,,4ea8779c-c69b-47a9-aafd-a024f7ae4faa,13,天气节令
谷雨立夏，寒死老郎罢。,郎罢：是父亲的意思。唐顾况诗“囝别郎罢，心摧血下”。,,,01453a23-f82b-42b6-8cc7-d33a9b5966b4,14,天气节令
冬天寒皮，春天寒骨。,,福州的春寒往往比冬寒更冷，这样形容很亲切。,,e3d51d9b-a9ce-4a5e-8fc9-ab14d06304cd,14,天气节令
冬节是月头，棉被压铺头。,"①、冬节：即“冬至日”，是福州的传统节日，这一天福州家家户户用糯米粉团制作“罱”（糍）。

②、月头：月初。

③、棉被压铺头：棉被盖过头，形容极冷之意。

④、",根据冬至日在农历十一月或十二月的哪一段来推测该年冬季气温。,,2ae5b3ac-0408-4028-a9a0-5b642a219a56,14,天气节令
冬节是月中，无雪复无霜。,"①、复：又的意思。

②、",根据冬至日在农历十一月或十二月的哪一段来推测该年冬季气温。,,f66c5a11-a454-40c4-9630-681cf6b5908e,14,天气节令
冬节是月尾，收起犁耙去烘火。,"①、月尾：月底的意思。

②、",根据冬至日在农历十一月或十二月的哪一段来推测该年冬季气温。,,c9d7fb78-2621-4e0a-ae2d-8bd00b8b7bdb,15,天气节令
二八乱穿。,"①、二八：即“二八天”，泛指春秋两季。

②、",形容春秋两季气温变化频繁而且无序，人们的寒衣和夏服往往要随着气温变化几度替换。,,d66cb3ba-3240-42c4-961f-fed054c4f192,15,天气节令
三月三，掏扇换纃衫。,"①、掏：拿的意思。

②、齐衫：即“汗衫”，指苎麻布的衣衫，轻薄凉爽。

③、",农历三月三，福州天气转暖，怕热的人已经换夏装、摇扇子了。,,ba24a31b-fcb6-4d2e-bab5-4c833df46364,15,天气节令
夏至日出火。,日出火：形容夏日炎炎。,,,33bdeef8-8a13-4296-8a93-dfa794ffd3d1,15,天气节令
