Han character	Mandarin Trans.	Meaning	Page	Contributor	Contribute Date	Example Trans.	Example	Zingzeu ID
儂 比 儂, 氣 死 儂.	人比人，气死人。		10	关彳山	2020-02-13			
藕 𥬱 蔗 𡅏.	把藕连接在甘蔗上。	喻指将两类不同事物混为一谈。	44	关彳山	2020-02-13			
礱礱 粟, 粟 礱礱. 糠 養 猪, 米 養 儂.	谷砻磨稻谷，稻谷磨呀磨，糠养猪，米养人。	这是与幼儿推手游戏时所唱儿歌。	55	关彳山	2020-02-13			
心肝 搭搭, 伓 驚 菩薩.	拍拍胸脯，问心无愧。	在菩萨面前也不害怕。	60	关彳山	2020-02-13			
點點 篤篤, 桃花 李 落, 小人 君子, 底儂 到 此, 拍糞齪.		这是小孩们点算谁该做什么，“龊”字落在谁头上，算谁倒霉。是一种儿童游戏。	66	关彳山	2020-02-13			
毛毛 雞, 假 大格.	毛多的鸡伪装大种鸡。		82	关彳山	2020-02-13			
大儂[duai53 neoyng21] 面[meing213] 伲囝[nie21-iang21] 身[ning55].		形容面容老成而身材矮小的不和谐外貌。	84	关彳山	2020-02-13			
食 豬母 料 叫 豬囝 聲.		讽喻光会吃不会幹的人。	88	关彳山	2020-02-13			
{傢私,家私} 全, 功夫 半.	工具齐全，可以少花许多功夫。		95	关彳山	2020-02-13			
鹹[geing53] 鼓山[gu21-lang55].	咸极了。	鼓山是福州城郊最高峰，咸与悬（高）同音，故有此谐音说法。	104	关彳山	2017-12-03			
鹹[geing33] 酸[noung55] 苦[ku21] 辣[lak5] 䭕[ziang33].		喻人世百味甜酸苦辣。	104-105	关彳山	2017-12-03			
鹹[geing33] 䭕[ziang33] 苦[ku21] 辣[lak5] 酸[noung55].		喻人世百味甜酸苦辣。	105	关彳山	2017-12-03			
湖南[hu55-nang53] 透[tau21] 四川[sy55-cuong55].		谑谓衣裳不能蔽体遮羞。	140	关彳山	2020-02-13			
{喫,食} {爸,罷} {穿,頌} {奶,嬭} {客遛,客佻} 爹.	吃喝玩乐不认真工作，靠的是父母有钱。		142	关彳山	2020-02-13			
肯 泥 有 博.	努力争取总有希望。		173	关彳山	2020-02-13			
道士 摇 鈴鈴, 蜀 儂 保 蜀 身.		意指各人自己顾自己。	188	关彳山	2020-02-13			
大頭魺 賣 西瓜, 賣 來 賣 去 儥 成花.	大头的人卖西瓜，卖来卖去总不成交。		199	关彳山	2020-02-13			
不 前 則 後.	怕不久于人世了。		250	关彳山	2020-02-13			
土𥄹, 土𥄹 伓 吐 便 𥄹.		产品太差劲，不是这里凹下去便是那里凸出来。	296	关彳山	2020-02-13			
儥仈 字, 看 告示.	不识字看告示。	讽睁眼瞎。	315	关彳山	2020-02-13			
會 驚, 睏 壁裏.	會害怕就睡在牀靠裏一面吧。		18	关彳山	2018-12-24	你會害怕就睡在牀靠裏一面吧。	汝“～”	
