Title	Han character	Meaning	ISO 639-6	Region	Provider	Sex	Tag	Contributor
	正月{新媳婦,新人}{真,盡}透{腳,骹}①，二月親母請親家，三月清明寒食節，四月和尚頭{顧,灸}疤，五月五江中划龍船，六月六犬囝着洗湯，七月七夕牛郎會織女，八月十五月{炎炎,圓圓}，九月九矮囝去登高，十月十要唱國慶歌，十一月着趕緊討{老馬,老嬤}②；{那,㑚}{因,伓}③討十二月{幹稀,寒死}④{你,汝}單身哥！	①透骹：愜意。②討老嬤：娶老婆。③伓：不。④寒死：凍死。					時令	关彳山
	正月甘蔗多帶葉，二月杏酸少{人,儂}食，三月枇杷當好價，四月朱紅擺滿街，五月荔枝紅又紅，六月聯物會通瓏，七月番石榴{沒人,無伓}上①三界泉，八月龍眼{腳留,客佻}{人,儂}②，九月菱角三角菱，十月橄欖{沒,儥}值錢，十一月梅梨③{才,乍}出蒂，十二月橘囝趕過年。	①無伓上：難上。②客佻儂：作弄人。③梅梨：荸薺。					時令	关彳山
圍坐點君子	點點篤篤，桃紅柳綠；誰是君子？雷拍火燒，霹靂卜篤。						猜拳	关彳山
大人揹小孩	{邁,脢}①呀{邁,脢}，{邁,脢}去乞道代②；道代也{依値,伓挃}③，{邁,脢}回自家{値,挃}④。	①脢：揹。②道代：道士。③伓挃：不要。④挃：要。						关彳山
磐殼謠	磐磐殼，殼磐磐；糖養豬，米養{人,儂}；米殼養鴨姆，鴨姆生{蛋,卵}養主{人,儂}。主{人,儂}{毛,無}著厝①，鬼{仔,囝}拍{到,遘}厝②。	①無著厝：不在家。②拍遘厝：入室搗蛋。						关彳山
青盲歌	青盲①青盲，行{路,墿}困難；日頭未暗，先去煮暝②。暝未煮熟，先去燉肉；肉燉未爛，先去拍爛③；爛拍未完，先去關門；門關未密，先去捉賊；賊拿{邁,儥}來④，先去釣蟛蜞；澎蜞會{捏,搦}，先去拍鐵；拍鐵會燙，先去買糖；買糖會黏，先去唱詩；唱詩{人,儂}會笑，先去卜票⑤；卜票會掉，先去買{蛋,卵}；買{蛋,卵}會破，表兄表弟真作怪。	①青盲：瞎子。②暝：晚餐。③拍爛：打平夥。④拿儥來：拿不到。⑤卜票：找零。						关彳山
指紋謠	蜀螺窮，兩螺富，三螺開酒庫，四螺{毛,無}飯食，五螺做乞食，六螺踏水車，七螺做老爹，八螺掏涼傘，九螺破布遮，十螺十周全，富貴滿家門。						猜拳	关彳山
冬節歌之一	搓丸{自,之}搓搓，依嬭疼依哥；依哥有老嬤，依弟單身哥。						節令	关彳山
冬節歌之二	搓丸{自,之}搓搓，年年節節高；大儂添福壽，伲囝歲數多；紅紅水黨菊，排排兄弟哥。						節令	关彳山
月光光之一	月光光，月十五，月老姐，做媳婦，做{底呢,底所}？做潘渡，{什哪,什乇}配，蝦鮮配，{什麼,什乇}篤，鹹鹵篤。鹹鹵臊臊，{一,蜀}碗肉糕；肉糕軟軟，{一,蜀}碗草凍；草凍有籽，{一,蜀}碗蓮籽；蓮籽有殼，{一,蜀}碗菱角；菱角尖尖，{一,蜀}碗八仙；八仙過海，{一,蜀}碗螃海；螃海鹹鹹，{一,蜀}碗李鹹；李鹹井井①，{一,蜀}碗蜆{仔,囝}；蜆{仔,囝}開{嘴,喙}，新人富貴。	①井井：味淡。						关彳山
月光光之二	月光光，照門戶，月姐月妹做媳婦；做{哪裡,底所}？做後渡；後渡{沒,無}生活，做梅花，梅花{什哪,什乇}辦？有辦{沒,無}辦，鏡箱糞桶鐵鐵碇。							关彳山
